id,text,expert label
berlin-hotel-190599-review-2.json_8,"If you do end up here, be sure to specify a room at the back of the hotel.",1
berlin-hotel-190599-review-3.json_2,and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,1
berlin-hotel-190599-review-4.json_16,"As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",1
berlin-hotel-190599-review-4.json_22,"If you expect no more than that, you won't be disappointed.",1
berlin-hotel-191437-review-1.json_2,"Room was big, bath was lovely, but watch out for the tile floor after you shower.",1
berlin-hotel-191437-review-1.json_5,Desk staff needs to go to a Waldorf class on manners.,1
berlin-hotel-191437-review-1.json_9,Chair upholstery needs to be cleaned.,1
berlin-hotel-191437-review-1.json_12,"Don't eat breakfast in the restaurant, too costly.",1
berlin-hotel-191437-review-1.json_13,"Walk 2 to 3 blocks away and get a muffin, coffee, or egg sandwich for about 6 Euros..",1
berlin-hotel-191437-review-1.json_15,Look around the same area for another hotel.,1
berlin-hotel-191437-review-10.json_11,"With the highest breakfast prices we've ever seen, it would have been nice to have in-room beverage stations/coffee makers like one usually finds in Westins.",1
berlin-hotel-191437-review-12.json_6,"If you're looking for that famous Berlin nightlife, look elsewhere.",1
berlin-hotel-191437-review-15.json_9,Avoid these rooms - it is very clear why they do not have a photograph of them on their web site.,1
berlin-hotel-191437-review-15.json_14,Even with these benefits I would not recommend staying in this hotel.,1
berlin-hotel-191437-review-16.json_1,Rooms needed upgrading badly (and our view was of the roof!) and a good clean!,1
berlin-hotel-191437-review-19.json_12,"If you have the chance, go for the brand new Radisson, Hyatt, Marriott or Adlon.",1
berlin-hotel-191437-review-2.json_19,"If you get a great rate per night, like I did using a voucher system, is OK, but otherwise stay elsewhere.",1
berlin-hotel-191437-review-3.json_8,Dont go for the pictures on the starwood internet site.,1
berlin-hotel-191437-review-4.json_10,My take on it is that the sewer system put in by the GDR needs to be replaced.,1
